Date,6701.T,6758.T,9983.T,7974.T,6702.T,6861.T,6367.T,9843.T,8113.T,6594.T
2021-01-04,1032.591796875,2024.3519287109375,29055.763671875,5735.03955078125,1401.0301513671875,56191.3359375,21640.478515625,4103.439453125,1550.8486328125,6297.99853515625
2021-01-05,1045.6156005859375,2050.54150390625,28455.8203125,5782.283203125,1419.433837890625,55528.6484375,21339.525390625,4180.19384765625,1546.6920166015625,6386.634765625
2021-01-06,1032.591796875,2003.982177734375,27750.56640625,5667.67041015625,1411.4117431640625,54368.96484375,21005.65234375,4301.07958984375,1550.529052734375,6362.67919921875
2021-01-07,1036.31298828125,2025.3218994140625,28194.142578125,5665.04638671875,1434.0623779296875,55665.08203125,21217.263671875,4357.685546875,1579.3077392578125,6547.13916015625
2021-01-08,1060.499755859375,2078.670654296875,29272.763671875,5719.29052734375,1486.9134521484375,57273.0546875,22026.078125,4411.4130859375,1600.412109375,6719.62158203125
2021-01-12,1099.571044921875,2104.8603515625,29074.91015625,5822.52978515625,1510.9796142578125,57029.4296875,22524.533203125,4273.2578125,1549.5697021484375,6853.77490234375
2021-01-13,1088.40771484375,2075.7607421875,29400.412109375,5756.0361328125,1499.654296875,56434.96484375,22289.41015625,4229.1240234375,1550.8486328125,6935.224609375
2021-01-14,1079.10498046875,2085.460693359375,29888.662109375,5757.78662109375,1511.9234619140625,56230.3203125,22378.76171875,4302.03955078125,1602.3306884765625,6731.6005859375
2021-01-15,1071.6630859375,2048.60107421875,29036.6171875,5747.28759765625,1504.84521484375,55587.125,21842.68359375,4303.958984375,1598.493408203125,6492.041015625
2021-01-18,1056.7789306640625,2033.0816650390625,28787.703125,5734.16455078125,1501.0699462890625,55821.015625,21645.18359375,4264.6220703125,1598.8128662109375,6789.09326171875
2021-01-19,1062.3603515625,2057.3310546875,29668.47265625,5762.1611328125,1502.0137939453125,56288.78515625,21899.11328125,4245.43359375,1587.621337890625,6813.04931640625
2021-01-20,1064.2208251953125,2054.4208984375,29074.91015625,5662.42138671875,1505.317138671875,55031.6484375,21452.384765625,4160.04541015625,1586.022705078125,6755.5556640625
2021-01-21,1084.6866455078125,2057.3310546875,29317.44140625,5490.93896484375,1527.495849609375,55431.1953125,21729.828125,4216.65087890625,1558.843017578125,6853.77490234375
2021-01-22,1095.8497314453125,2033.0816650390625,29301.486328125,5592.42822265625,1599.6942138671875,56181.5859375,21758.041015625,4221.4482421875,1574.19140625,6803.466796875
2021-01-25,1103.2921142578125,1998.1624755859375,29997.162109375,5483.939453125,1579.875,56006.171875,21941.43359375,4170.59912109375,1541.8953857421875,6860.96142578125
2021-01-26,1095.8497314453125,1995.2523193359375,29244.04296875,5441.94287109375,1520.88916015625,54856.21875,21287.802734375,4146.61376953125,1524.3084716796875,6899.291015625
2021-01-27,1101.431396484375,1992.3424072265625,28937.69140625,5477.8154296875,1560.0556640625,57029.4296875,21800.359375,4161.00537109375,1524.3084716796875,7090.9375
2021-01-28,1090.268310546875,1946.7532958984375,28867.486328125,5394.69921875,1489.2728271484375,55704.06640625,21325.41796875,4040.11767578125,1516.953857421875,6906.47705078125
2021-01-29,1060.499755859375,1949.6632080078125,28663.248046875,5300.2080078125,1511.9234619140625,54710.046875,20789.345703125,3989.268798828125,1502.8843994140625,6635.7763671875
2021-02-01,1196.3182373046875,1970.03271484375,29205.748046875,5480.43994140625,1508.148193359375,56210.82421875,20930.41796875,3993.106201171875,1491.05322265625,6801.07177734375
2021-02-02,1205.6209716796875,2030.1715087890625,29202.55859375,5459.44189453125,1540.70849609375,55021.8984375,21457.083984375,3953.7705078125,1491.6927490234375,6937.6201171875
2021-02-03,1194.45751953125,2063.151123046875,29422.751953125,5468.19140625,1532.2144775390625,54846.484375,21414.763671875,4000.78125,1504.802978515625,6738.7861328125
2021-02-04,1181.43408203125,2260.05712890625,29046.1875,5387.7001953125,1500.126220703125,54407.94140625,20963.3359375,3896.205078125,1490.41357421875,6585.46923828125
2021-02-05,1175.8524169921875,2415.254150390625,29425.939453125,5545.18408203125,1508.6201171875,54690.55859375,21057.384765625,3947.0546875,1467.71044921875,6676.50146484375
2021-02-08,1175.8524169921875,2346.385986328125,29879.091796875,5551.30712890625,1517.1141357421875,55304.515625,21979.0546875,3953.7705078125,1493.2913818359375,6808.25830078125
2021-02-09,1187.0155029296875,2294.006591796875,30357.765625,5446.318359375,1512.866943359375,56434.96484375,21428.873046875,4039.1591796875,1509.919189453125,7002.30078125
2021-02-10,1177.712890625,2326.01611328125,30485.419921875,5630.0498046875,1501.0699462890625,55635.85546875,21814.470703125,3986.390869140625,1520.7911376953125,6932.82958984375
2021-02-12,1164.6895751953125,2297.88623046875,30491.794921875,5804.15673828125,1512.395263671875,56220.56640625,21668.693359375,3967.201904296875,1500.0064697265625,7090.9375
2021-02-15,1170.270751953125,2322.13623046875,31739.552734375,5826.90478515625,1517.1141357421875,57575.1640625,22011.96875,4010.3759765625,1516.314453125,7181.9697265625
2021-02-16,1153.5262451171875,2374.51513671875,32709.669921875,5979.13916015625,1496.3511962890625,57360.765625,22251.794921875,4062.1845703125,1564.598388671875,7213.11328125
2021-02-17,1183.294677734375,2366.755126953125,32757.541015625,6002.76123046875,1492.104248046875,56737.0703125,21866.1953125,4065.062744140625,1577.3892822265625,7150.82763671875
2021-02-18,1170.270751953125,2327.9560546875,34257.39453125,6001.88623046875,1485.0260009765625,56659.10546875,21870.8984375,4108.93212890625,1568.115966796875,6995.1142578125
2021-02-19,1177.712890625,2321.166015625,33427.6875,5975.63916015625,1493.52001953125,55869.73828125,21569.943359375,4034.854248046875,1533.26171875,6968.76318359375
2021-02-22,1170.270751953125,2324.075927734375,33475.55859375,5952.01708984375,1501.0699462890625,55304.515625,20784.640625,3980.017333984375,1484.9776611328125,7019.06982421875
2021-02-24,1105.1527099609375,2197.0087890625,34145.7109375,5812.90625,1435.477783203125,51786.453125,19966.421875,3819.35400390625,1420.0660400390625,6633.380859375
2021-02-25,1112.5946044921875,2244.537841796875,35038.0546875,5980.88916015625,1466.1505126953125,52224.99609375,20436.6640625,3946.345703125,1397.0430908203125,6760.34716796875
2021-02-26,1079.10498046875,2157.2392578125,33582.796875,5665.04638671875,1449.6343994140625,49272.17578125,19486.779296875,3824.164794921875,1348.1192626953125,6477.66748046875
2021-03-01,1129.339599609375,2212.52783203125,34494.33203125,5710.54150390625,1473.7005615234375,49340.39453125,20131.009765625,3900.16650390625,1386.171142578125,6681.29248046875
2021-03-02,1123.7579345703125,2200.888671875,33486.84375,5644.923828125,1473.7005615234375,49730.21484375,20008.748046875,3904.977294921875,1374.9793701171875,6710.04052734375
2021-03-03,1146.0843505859375,2197.978759765625,33566.80078125,5546.93408203125,1440.1964111328125,49184.46484375,20088.68359375,3845.330078125,1383.6129150390625,6506.4140625
2021-03-04,1149.80517578125,2142.689453125,31737.33984375,5347.4541015625,1447.7469482421875,48375.61328125,19891.18359375,3766.44140625,1399.28125,6307.5810546875
2021-03-05,1185.1551513671875,2175.669189453125,30662.689453125,5427.07080078125,1439.724853515625,50139.50390625,20516.607421875,3853.988037109375,1453.6407470703125,6369.86572265625
2021-03-08,1149.80517578125,2137.83935546875,30154.15234375,5226.71533203125,1401.5020751953125,49028.54296875,20121.603515625,3707.755859375,1458.1175537109375,6005.7373046875
2021-03-09,1147.944580078125,2097.1005859375,30070.9921875,5147.09912109375,1435.0062255859375,47547.26171875,20554.2265625,3699.097412109375,1470.5882568359375,5830.859375
2021-03-10,1172.1314697265625,2133.959716796875,29344.96875,5161.97265625,1481.250732421875,47878.59765625,20624.759765625,3654.8427734375,1446.286376953125,5981.78076171875
2021-03-11,1181.43408203125,2135.899658203125,30330.060546875,5226.71533203125,1520.88916015625,46572.73046875,20732.916015625,3756.820556640625,1438.931884765625,6084.79150390625
2021-03-12,1185.1551513671875,2197.978759765625,30288.482421875,5306.33251953125,1533.1583251953125,48131.98046875,21607.5625,3818.39208984375,1431.2574462890625,6297.99853515625
2021-03-15,1200.0391845703125,2211.558349609375,30509.169921875,5391.19873046875,1510.9796142578125,48229.4296875,21160.833984375,3859.76025390625,1449.164306640625,6156.65869140625
2021-03-16,1213.062744140625,2247.44775390625,30445.19921875,5567.93115234375,1520.88916015625,48492.5546875,21424.169921875,4001.182861328125,1438.612060546875,6300.3935546875
2021-03-17,1240.970703125,2245.50732421875,30704.271484375,5555.681640625,1533.6300048828125,49087.01171875,21612.267578125,3914.59765625,1410.472900390625,6360.283203125
2021-03-18,1250.2734375,2256.177001953125,31001.716796875,5543.43359375,1557.6964111328125,50249.01171875,21899.11328125,4009.841064453125,1449.164306640625,6525.580078125
2021-03-19,1235.3892822265625,2241.62744140625,29111.484375,5470.81640625,1515.2265625,51655.125,21772.1484375,4070.4501953125,1449.164306640625,6499.2275390625
2021-03-22,1259.576171875,2223.19775390625,27790.5625,5510.18701171875,1532.2144775390625,48940.546875,20897.501953125,4070.4501953125,1466.431396484375,6372.2607421875
2021-03-23,1218.64453125,2236.778076171875,27761.779296875,5597.677734375,1528.911376953125,49057.73046875,20295.591796875,3999.258056640625,1475.70458984375,6350.70166015625
2021-03-24,1201.89990234375,2177.60888671875,26783.080078125,5524.18505859375,1517.1141357421875,48618.3125,19768.921875,3970.39697265625,1443.0888671875,6326.7451171875
2021-03-25,1201.89990234375,2175.669189453125,27154.08984375,5451.568359375,1532.2144775390625,50258.77734375,20460.17578125,3992.52392578125,1473.7861328125,6264.4599609375
2021-03-26,1222.36572265625,2218.34814453125,27393.966796875,5621.30029296875,1539.7647705078125,49917.01171875,20530.7109375,4040.626953125,1476.343994140625,6405.79931640625
2021-03-29,1227.947265625,2257.147216796875,27630.646484375,5656.296875,1550.6181640625,50727.48046875,21104.40625,4165.69384765625,1516.314453125,6398.61279296875
2021-03-30,1220.4595947265625,2235.752685546875,28506.99609375,5684.0244140625,1545.8701171875,50678.6640625,21080.80859375,4182.04833984375,1498.4075927734375,6410.61767578125
2021-03-31,1220.4595947265625,2255.202392578125,28187.16015625,5528.3955078125,1519.2825927734375,49087.01171875,21066.65234375,4122.40087890625,1485.29736328125,6451.4345703125
2021-04-01,1220.4595947265625,2265.899658203125,28132.787109375,5627.67529296875,1530.677490234375,50688.421875,21236.54296875,3949.231201171875,1498.7274169921875,6626.70654296875
2021-04-02,1220.4595947265625,2372.87353515625,28935.576171875,5629.46484375,1543.9710693359375,52143.35546875,21656.556640625,3897.28076171875,1522.070068359375,6744.35400390625
2021-04-05,1218.5877685546875,2398.158447265625,29616.826171875,5665.24072265625,1555.8404541015625,51157.12890625,21430.033203125,3901.128662109375,1501.2855224609375,6729.94775390625
2021-04-06,1201.74072265625,2349.533935546875,29172.2578125,5698.3349609375,1564.3865966796875,50092.7734375,21293.173828125,3841.4814453125,1481.460205078125,6626.70654296875
2021-04-07,1246.6658935546875,2366.06591796875,28622.13671875,5706.38427734375,1596.1964111328125,49311.60546875,21241.26171875,3895.356201171875,1490.09375,6693.93359375
2021-04-08,1233.562744140625,2314.5244140625,29098.693359375,5792.248046875,1581.953369140625,49946.3125,21340.369140625,3890.54638671875,1467.71044921875,6749.15673828125
2021-04-09,1235.4346923828125,2378.708740234375,28110.400390625,5800.29736328125,1585.276611328125,50590.77734375,21496.103515625,3913.635498046875,1460.0362548828125,6809.1806640625
2021-04-12,1241.05029296875,2368.01123046875,27924.89453125,5784.19873046875,1570.5584716796875,49751.0078125,21458.349609375,3872.26708984375,1471.867431640625,6717.94287109375
